type,count
nan,8446
Trade cards,3845
Letters,978
Billheads,485
Periodicals,377
Receipts,294
Billhead,293
Envelopes,192
Letterheads,181
Pamphlets,155
Broadsides,150
Monetary,141
Deeds,114
Cartes-de-visite,107
Legal documents,97
Ports of entry,90
Negotiable instruments,67
Official documents,66
Miscellaneous,63
Court records,55
Invitations,41
Photographs,36
Manuscripts,34
Trade tokens,34
Sheet music,34
Spoons,30
Certificates,29
Circular letters,28
Bottles,28
Stereo cards,24
Prints,24
Documents,19
Tickets,17
Catalogues,16
Newspapers,15
Ledger sheets,15
Book plates,14
Paintings,14
Advertisements,12
Cards,12
Glasses,11
Reports,11
Financial records,10
Maps,10
Cabinet photographs,9
Sheet Music,9
Telegraphs,9
Programs,9
Cups,9
Records,8
Bookplates,8
Cabinet cards,7
Advertising objects,6
Commercial documents,6
Pitchers,6
Catalogs,6
Post cards,6
Contracts,6
Drawings,6
Jugs,5
Containers,5
Inventories,4
Mortgages,4
Licenses,4
Playing cards,4
Drafts,4
Letter,4
Plaques,4
Financial statements,4
Blotters,4
Boxes,4
Printed works,3
Marriage records,3
Stereo Cards,3
Poems,3
Advertising mirrors,3
Invoices,3
Leaflets,3
Brushes,3
Annual reports,3
Lists,2
Petitions,2
Postcards,2
Tags,2
Musical texts,2
Engravings,2
Speeches,2
Passports,2
Invoice,2
Playbills,2
Ketubahs,2
Objects,2
Bills of sale,2
Wills,2
Social stationary,2
Broadside,1
Marriage contracts,1
Serving dishes,1
Signs,1
Pistols,1
Newspaper,1
Ledgers,1
Lithographs,1
Trace cards,1
Proof sheets,1
Excerpts,1
Land titles,1
Envelope,1
Letterhead,1
Printed Work,1
Borchures,1
Accounts payable,1
Clocks,1
Obituaries,1
Land warrants,1
Loans,1
Bonds,1
Geneaologies,1
Diagrams,1
Subscriptions,1
Labels,1
Prayers,1
Advertisments,1
Medals,1
Seals,1
Minutes,1
Proposals,1
Clippings,1
Notes,1
Boots,1
Leases,1
Images,1
Charters,1
Knives,1
Art,1
Bags,1
Watches,1
Reviews,1
Bills,1
Memorabilia,1
Tintypes,1
Journal sheets,1
Albumen prints,1
Sculptures,1
Accounts,1
Wrappers,1
Stands,1
Memorial,1
Eulogies,1
Calendars,1
Circulars,1
Marriage certificates,1
