State,State-Count
Connecticut,260
Nevada,322
New York,2507
New York,2507
California,725
California,725
Maryland,382
New Jersey,162
New York,2507
New York,2507
New York,2507
Pennsylvania,2041
Pennsylvania,2041
New York,2507
Georgia,121
Pennsylvania,2041
Pennsylvania,2041
Rhode Island,110
Missouri,121
Montana,94
Arizona,40
New York,2507
Rhode Island,110
Nevada,322
New York,2507
Alabama,89
Alabama,89
Texas,91
Maryland,382
District of Columbia,125
Connecticut,260
New York,2507
California,725
Pennsylvania,2041
Connecticut,260
New Jersey,162
New York,2507
New York,2507
New York,2507
Ohio,327
Pennsylvania,2041
New York,2507
New York,2507
District of Columbia,125
New York,2507
Texas,91
Ohio,327
California,725
Mississippi,27
District of Columbia,125
Pennsylvania,2041
Rhode Island,110
Pennsylvania,2041
Oregon,107
Nevada,322
New York,2507
New Jersey,162
New Jersey,162
California,725
Louisiana,169
New York,2507
New York,2507
New York,2507
Pennsylvania,2041
Pennsylvania,2041
Maryland,382
New York,2507
Pennsylvania,2041
Pennsylvania,2041
New York,2507
Connecticut,260
Wisconsin,36
Wisconsin,36
Mississippi,27
South Carolina,176
Virginia,203
Mississippi,27
Kentucky,57
Ohio,327
Pennsylvania,2041
Nevada,322
New York,2507
Virginia,203
Nevada,322
New York,2507
Connecticut,260
California,725
Pennsylvania,2041
Virginia,203
Nevada,322
New York,2507
California,725
Connecticut,260
Rhode Island,110
New York,2507
New York,2507
New York,2507
Iowa,39
Pennsylvania,2041
Pennsylvania,2041
New York,2507
Nevada,322
New York,2507
District of Columbia,125
Massachusetts,255
Ohio,327
California,725
Illinois,207
Massachusetts,255
Connecticut,260
Minnesota,45
New York,2507
New York,2507
New York,2507
Pennsylvania,2041
New York,2507
Louisiana,169
New York,2507
Minnesota,45
Virginia,203
Virginia,203
Maryland,382
Maine,37
New Mexico,30
Texas,91
Pennsylvania,2041
California,725
California,725
California,725
Alabama,89
New York,2507
Maryland,382
Louisiana,169
Mississippi,27
New York,2507
Pennsylvania,2041
Pennsylvania,2041
Massachusetts,255
Nevada,322
New York,2507
California,725
Pennsylvania,2041
Missouri,121
New York,2507
New York,2507
New York,2507
Pennsylvania,2041
Pennsylvania,2041
Ohio,327
Missouri,121
Louisiana,169
Pennsylvania,2041
New York,2507
New York,2507
Nebraska,16
South Carolina,176
Maryland,382
Pennsylvania,2041
Maryland,382
New York,2507
California,725
New York,2507
Indiana,51
Pennsylvania,2041
Pennsylvania,2041
California,725
Illinois,207
New York,2507
Louisiana,169
Louisiana,169
California,725
Pennsylvania,2041
Iowa,39
Illinois,207
Massachusetts,255
New York,2507
New York,2507
New York,2507
Pennsylvania,2041
New York,2507
Nevada,322
Pennsylvania,2041
California,725
California,725
California,725
New York,2507
Virginia,203
Pennsylvania,2041
Georgia,121
South Carolina,176
South Carolina,176
California,725
Massachusetts,255
Nevada,322
New York,2507
Oregon,107
California,725
California,725
California,725
Massachusetts,255
New York,2507
Arizona,40
New York,2507
Pennsylvania,2041
New York,2507
New York,2507
Louisiana,169
California,725
Massachusetts,255
Missouri,121
Pennsylvania,2041
Pennsylvania,2041
New York,2507
New York,2507
New York,2507
New York,2507
Tennessee,45
New York,2507
Connecticut,260
Pennsylvania,2041
Nevada,322
New York,2507
Michigan,51
Pennsylvania,2041
Illinois,207
New Jersey,162
New York,2507
New York,2507
Ohio,327
Pennsylvania,2041
Maryland,382
Pennsylvania,2041
Texas,91
Louisiana,169
Pennsylvania,2041
New York,2507
Montana,94
Pennsylvania,2041
California,725
Nevada,322
Nevada,322
Virginia,203
New York,2507
California,725
New York,2507
Ohio,327
Ohio,327
South Carolina,176
Nevada,322
New York,2507
Rhode Island,110
New York,2507
Pennsylvania,2041
California,725
Illinois,207
Virginia,203
New York,2507
Ohio,327
Pennsylvania,2041
Kentucky,57
New York,2507
Rhode Island,110
Ohio,327
Virginia,203
Pennsylvania,2041
California,725
Minnesota,45
Oregon,107
Connecticut,260
New York,2507
Nevada,322
New York,2507
California,725
Maryland,382
New Jersey,162
New York,2507
New York,2507
New York,2507
New York,2507
Pennsylvania,2041
Iowa,39
New York,2507
Montana,94
Illinois,207
Ohio,327
Montana,94
Pennsylvania,2041
New York,2507
New York,2507
New York,2507
New York,2507
Montana,94
Maryland,382
California,725
California,725
Maine,37
Connecticut,260
Ohio,327
New York,2507
Connecticut,260
New Jersey,162
Nevada,322
New York,2507
New York,2507
New York,2507
New York,2507
Ohio,327
Pennsylvania,2041
Pennsylvania,2041
District of Columbia,125
Pennsylvania,2041
New York,2507
Pennsylvania,2041
Maryland,382
New York,2507
California,725
New York,2507
Alabama,89
Ohio,327
South Carolina,176
Oregon,107
New York,2507
Nevada,322
New York,2507
Connecticut,260
Connecticut,260
New York,2507
New York,2507
New York,2507
Pennsylvania,2041
District of Columbia,125
Oregon,107
Oregon,107
New York,2507
Pennsylvania,2041
Pennsylvania,2041
Pennsylvania,2041
New York,2507
Louisiana,169
California,725
California,725
South Carolina,176
Virginia,203
Tennessee,45
Pennsylvania,2041
New York,2507
Tennessee,45
California,725
New York,2507
Nevada,322
New York,2507
Minnesota,45
California,725
Maine,37
Wisconsin,36
New York,2507
New York,2507
New York,2507
New York,2507
Pennsylvania,2041
California,725
Texas,91
New York,2507
North Carolina,40
California,725
Tennessee,45
Maryland,382
New York,2507
Pennsylvania,2041
Utah,22
Maryland,382
Pennsylvania,2041
District of Columbia,125
Connecticut,260
Minnesota,45
New York,2507
New York,2507
New York,2507
Pennsylvania,2041
Pennsylvania,2041
New York,2507
Pennsylvania,2041
Pennsylvania,2041
California,725
New York,2507
Montana,94
California,725
Wisconsin,36
Texas,91
Maryland,382
Pennsylvania,2041
Massachusetts,255
Nevada,322
New York,2507
California,725
Massachusetts,255
Iowa,39
Missouri,121
New York,2507
New York,2507
New York,2507
Pennsylvania,2041
California,725
Oregon,107
Oregon,107
Colorado,41
Maryland,382
New York,2507
Ohio,327
Nevada,322
Pennsylvania,2041
South Carolina,176
Pennsylvania,2041
New York,2507
Virginia,203
Pennsylvania,2041
Massachusetts,255
Tennessee,45
Tennessee,45
Pennsylvania,2041
Maryland,382
Pennsylvania,2041
Georgia,121
Pennsylvania,2041
Illinois,207
Massachusetts,255
New York,2507
New York,2507
New Mexico,30
Nevada,322
New York,2507
Pennsylvania,2041
Missouri,121
New York,2507
Pennsylvania,2041
District of Columbia,125
New York,2507
Pennsylvania,2041
Pennsylvania,2041
Pennsylvania,2041
Pennsylvania,2041
California,725
California,725
California,725
Pennsylvania,2041
Pennsylvania,2041
Mississippi,27
California,725
Pennsylvania,2041
Rhode Island,110
New York,2507
Louisiana,169
Louisiana,169
Iowa,39
Maryland,382
West Virginia,28
New York,2507
New York,2507
New York,2507
Ohio,327
Pennsylvania,2041
New York,2507
Florida,18
Missouri,121
Nevada,322
New York,2507
Pennsylvania,2041
Montana,94
California,725
California,725
California,725
California,725
Mississippi,27
New York,2507
Montana,94
New York,2507
Connecticut,260
Pennsylvania,2041
District of Columbia,125
District of Columbia,125
New Jersey,162
Nevada,322
New York,2507
Nevada,322
New York,2507
New York,2507
Ohio,327
Pennsylvania,2041
California,725
Illinois,207
New Jersey,162
New York,2507
Pennsylvania,2041
Ohio,327
Illinois,207
Maryland,382
Pennsylvania,2041
Pennsylvania,2041
Pennsylvania,2041
Maryland,382
New York,2507
Mississippi,27
Colorado,41
Virginia,203
Virginia,203
Texas,91
New York,2507
Louisiana,169
New York,2507
Massachusetts,255
New York,2507
California,725
Pennsylvania,2041
Maryland,382
New Jersey,162
New York,2507
New York,2507
Ohio,327
Pennsylvania,2041
Pennsylvania,2041
Missouri,121
New York,2507
North Carolina,40
Pennsylvania,2041
New York,2507
New York,2507
New York,2507
Texas,91
Montana,94
California,725
California,725
Ohio,327
Maryland,382
California,725
Oregon,107
Oregon,107
Connecticut,260
New York,2507
South Carolina,176
Nevada,322
New York,2507
Virginia,203
California,725
Ohio,327
Ohio,327
Maryland,382
New York,2507
New York,2507
New York,2507
New York,2507
Pennsylvania,2041
New York,2507
Wisconsin,36
Rhode Island,110
Pennsylvania,2041
District of Columbia,125
Pennsylvania,2041
New Mexico,30
New York,2507
Maryland,382
Pennsylvania,2041
California,725
Texas,91
Illinois,207
Connecticut,260
Nevada,322
New York,2507
Connecticut,260
North Dakota,3
California,725
Connecticut,260
New Jersey,162
Nevada,322
New York,2507
New York,2507
New York,2507
Pennsylvania,2041
Pennsylvania,2041
Ohio,327
New York,2507
Pennsylvania,2041
Pennsylvania,2041
New York,2507
New York,2507
New York,2507
New York,2507
Pennsylvania,2041
Massachusetts,255
Pennsylvania,2041
Connecticut,260
Oregon,107
New York,2507
Connecticut,260
Rhode Island,110
Pennsylvania,2041
Pennsylvania,2041
Wisconsin,36
New York,2507
New York,2507
New York,2507
New York,2507
Pennsylvania,2041
New York,2507
Texas,91
Connecticut,260
New York,2507
New Mexico,30
Virginia,203
